code_postal,nom_commune_complet,departement
1400,L'ABERGEMENT-CLÃ©MENCIAT,Ain
1640,L'ABERGEMENT-DE-VAREY,Ain
1500,AMBÃ©RIEU-EN-BUGEY,Ain
1330,AMBÃ©RIEUX-EN-DOMBES,Ain
1300,AMBLÃ©ON,Ain
1500,AMBRONAY,Ain
1500,AMBUTRIX,Ain
1300,ANDERT-ET-CONDON,Ain
1350,ANGLEFORT,Ain
1100,APREMONT,Ain
1110,ARANC,Ain
1230,ARANDAS,Ain
1100,ARBENT,Ain
1300,ARBOYS EN BUGEY,Ain
1300,ARBOYS EN BUGEY,Ain
1190,ARBIGNY,Ain
1230,ARGIS,Ain
1510,ARMIX,Ain
1480,ARS-SUR-FORMANS,Ain
1510,ARTEMARE,Ain
1570,ASNIÃ¨RES-SUR-SAÃ´NE,Ain
1340,ATTIGNAT,Ain
1380,BÃ¢GÃ©-DOMMARTIN,Ain
1380,BÃ¢GÃ©-LE-CHÃ¢TEL,Ain
1360,BALAN,Ain
1990,BANEINS,Ain
1270,BEAUPONT,Ain
1480,BEAUREGARD,Ain
1100,BELLIGNAT,Ain
1360,BÃ©LIGNEUX,Ain
1360,BÃ©LIGNEUX,Ain
1360,BÃ©LIGNEUX,Ain
1360,BÃ©LIGNEUX,Ain
1200,BELLEGARDE-SUR-VALSERINE,Ain
1300,BELLEY,Ain
1130,BELLEYDOUX,Ain
1260,BELMONT-LUTHÃ©ZIEU,Ain
1260,BELMONT-LUTHÃ©ZIEU,Ain
1470,BÃ©NONCES,Ain
1370,BÃ©NY,Ain
1350,BÃ©ON,Ain
1340,BÃ©RÃ©ZIAT,Ain
1500,BETTANT,Ain
1290,BEY,Ain
1700,BEYNOST,Ain
1200,BILLIAT,Ain
1330,BIRIEUX,Ain
1290,BIZIAT,Ain
1150,BLYES,Ain
1120,LA BOISSE,Ain
1190,BOISSEY,Ain
1380,BOISSEY,Ain
1450,BOLOZON,Ain
1330,BOULIGNEUX,Ain
1000,BOURG-EN-BRESSE,Ain
1000,BOURG-EN-BRESSE,Ain
1800,BOURG-SAINT-CHRISTOPHE,Ain
1800,BOURG-SAINT-CHRISTOPHE,Ain
1640,BOYEUX-SAINT-JÃ©RÃ´ME,Ain
1190,BOZ,Ain
1300,BRÃ©GNIER-CORDON,Ain
1260,BRÃ©NAZ,Ain
1110,BRÃ©NOD,Ain
1300,BRENS,Ain
1360,BRESSOLLES,Ain
1360,BRESSOLLES,Ain
1460,BRION,Ain
1470,BRIORD,Ain
1310,BUELLAS,Ain
1310,BUELLAS,Ain
1510,LA BURBANCHE,Ain
1430,CEIGNES,Ain
1450,CERDON,Ain
1240,CERTINES,Ain
1170,CESSY,Ain
1250,CEYZÃ©RIAT,Ain
1350,CEYZÃ©RIEU,Ain
1320,CHALAMONT,Ain
1480,CHALEINS,Ain
1230,CHALEY,Ain
1450,CHALLES-LA-MONTAGNE,Ain
1630,CHALLEX,Ain
1260,CHAMPAGNE-EN-VALROMEY,Ain
1260,CHAMPAGNE-EN-VALROMEY,Ain
1260,CHAMPAGNE-EN-VALROMEY,Ain
1110,CHAMPDOR-CORCELLES,Ain
1110,CHAMPDOR-CORCELLES,Ain
1410,CHAMPFROMIER,Ain
1420,CHANAY,Ain
1990,CHANEINS,Ain
1400,CHANOZ-CHÃ¢TENAY,Ain
1240,LA CHAPELLE-DU-CHÃ¢TELARD,Ain
1130,CHARIX,Ain
1800,CHARNOZ-SUR-AIN,Ain
1500,CHÃ¢TEAU-GAILLARD,Ain
1320,CHÃ¢TENAY,Ain
1200,CHÃ¢TILLON-EN-MICHAILLE,Ain
1200,CHÃ¢TILLON-EN-MICHAILLE,Ain
1200,CHÃ¢TILLON-EN-MICHAILLE,Ain
1320,CHÃ¢TILLON-LA-PALUD,Ain
1400,CHÃ¢TILLON-SUR-CHALARONNE,Ain
1190,CHAVANNES-SUR-REYSSOUZE,Ain
1250,NIVIGNE ET SURAN,Ain
1660,CHAVEYRIAT,Ain
1510,CHAVORNAY,Ain
1300,CHAZEY-BONS,Ain
1150,CHAZEY-SUR-AIN,Ain
1510,CHEIGNIEU-LA-BALME,Ain
1430,CHEVILLARD,Ain
1190,CHEVROUX,Ain
1170,CHEVRY,Ain
1200,CHÃ©ZERY-FORENS,Ain
1410,CHÃ©ZERY-FORENS,Ain
1390,CIVRIEUX,Ain
1250,CIZE,Ain
1230,CLEYZIEU,Ain
1270,COLIGNY,Ain
1550,COLLONGES,Ain
1300,COLOMIEU,Ain
1230,CONAND,Ain
1430,CONDAMINE,Ain
1400,CONDEISSIAT,Ain
1200,CONFORT,Ain
1310,CONFRANÃ§ON,Ain
1300,CONTREVOZ,Ain
1300,CONZIEU,Ain
1420,CORBONOD,Ain
1110,CORLIER,Ain
1110,CORMARANCHE-EN-BUGEY,Ain
1290,CORMORANCHE-SUR-SAÃ´NE,Ain
1560,CORMOZ,Ain
1250,CORVEISSIAT,Ain
1370,COURMANGOUX,Ain
1560,COURTES,Ain
1320,CRANS,Ain
1340,CRAS-SUR-REYSSOUZE,Ain
1350,CRESSIN-ROCHEFORT,Ain
1290,CROTTET,Ain
1750,CROTTET,Ain
1170,CROZET,Ain
1290,CRUZILLES-LÃ¨S-MÃ©PILLAT,Ain
1350,CULOZ,Ain
1560,CURCIAT-DONGALON,Ain
1310,CURTAFOND,Ain
1300,CUZIEU,Ain
1120,DAGNEUX,Ain
1220,DIVONNE-LES-BAINS,Ain
1380,DOMMARTIN,Ain
1240,DOMPIERRE-SUR-VEYLE,Ain
1400,DOMPIERRE-SUR-CHALARONNE,Ain
1270,DOMSURE,Ain
1590,DORTAN,Ain
1500,DOUVRES,Ain
1250,DROM,Ain
1160,DRUILLAT,Ain
1130,Ã‰CHALLON,Ain
1170,Ã‰CHENEVEX,Ain
1340,Ã‰TREZ,Ain
1230,Ã‰VOSGES,Ain
1800,FARAMANS,Ain
1480,FAREINS,Ain
1550,FARGES,Ain
1570,FEILLENS,Ain
1210,FERNEY-VOLTAIRE,Ain
1350,FLAXIEU,Ain
1340,FOISSIAT,Ain
1090,FRANCHELEINS,Ain
1090,FRANCHELEINS,Ain
1090,FRANCHELEINS,Ain
1480,FRANS,Ain
1140,GARNERANS,Ain
1090,GENOUILLEUX,Ain
1460,BÃ©ARD-GÃ©OVREISSIAT,Ain
1100,GÃ©OVREISSET,Ain
1250,GERMAGNAT,Ain
1170,GEX,Ain
1130,GIRON,Ain
1190,GORREVOD,Ain
1250,GRAND-CORENT,Ain
1290,GRIÃ¨GES,Ain
1220,GRILLY,Ain
1100,GROISSIAT,Ain
1090,GUÃ©REINS,Ain
1250,HAUTECOURT-ROMANÃ¨CHE,Ain
1250,HAUTECOURT-ROMANÃ¨CHE,Ain
1110,HAUTEVILLE-LOMPNES,Ain
1110,HOSTIAZ,Ain
1260,HAUT VALROMEY,Ain
1260,HAUT VALROMEY,Ain
1260,HAUT VALROMEY,Ain
1260,HAUT VALROMEY,Ain
1140,ILLIAT,Ain
1200,INJOUX-GÃ©NISSIAT,Ain
1200,INJOUX-GÃ©NISSIAT,Ain
1680,INNIMOND,Ain
1430,IZENAVE,Ain
1580,IZERNORE,Ain
1300,IZIEU,Ain
1480,JASSANS-RIOTTIER,Ain
1250,JASSERON,Ain
1340,JAYAT,Ain
1250,JOURNANS,Ain
1800,JOYEUX,Ain
1640,JUJURIEUX,Ain
1450,LABALME,Ain
1150,LAGNIEU,Ain
1290,LAIZ,Ain
1130,LE POIZAT-LALLEYRIAT,Ain
1130,LE POIZAT-LALLEYRIAT,Ain
1200,LANCRANS,Ain
1430,LANTENAY,Ain
1330,LAPEYROUSE,Ain
1350,LAVOURS,Ain
1200,LÃ©AZ,Ain
1410,LÃ©LEX,Ain
1240,LENT,Ain
1560,LESCHEROUX,Ain
1150,LEYMENT,Ain
1450,LEYSSARD,Ain
1420,LHÃ´PITAL,Ain
1680,LHUIS,Ain
1260,LOCHIEU,Ain
1680,LOMPNAS,Ain
1260,LOMPNIEU,Ain
1360,LOYETTES,Ain
1090,LURCY,Ain
1300,MAGNIEU,Ain
1430,MAILLAT,Ain
1340,MALAFRETAZ,Ain
1560,MANTENAY-MONTLIN,Ain
1570,MANZIAT,Ain
1851,MARBOZ,Ain
1680,MARCHAMP,Ain
1300,MARIGNIEU,Ain
1240,MARLIEUX,Ain
1340,MARSONNAS,Ain
1100,MARTIGNAT,Ain
1600,MASSIEUX,Ain
1300,MASSIGNIEU-DE-RIVES,Ain
1580,MATAFELON-GRANGES,Ain
1580,MATAFELON-GRANGES,Ain
1370,MEILLONNAS,Ain
1450,MÃ©RIGNAT,Ain
1480,MESSIMY-SUR-SAÃ´NE,Ain
1800,MEXIMIEUX,Ain
1250,BOHAS-MEYRIAT-RIGNAT,Ain
1250,BOHAS-MEYRIAT-RIGNAT,Ain
1250,BOHAS-MEYRIAT-RIGNAT,Ain
1660,MÃ©ZÃ©RIAT,Ain
1170,MIJOUX,Ain
1410,MIJOUX,Ain
1390,MIONNAY,Ain
1700,MIRIBEL,Ain
1700,MIRIBEL,Ain
1700,MIRIBEL,Ain
1600,MISÃ©RIEUX,Ain
1140,MOGNENEINS,Ain
1250,MONTAGNAT,Ain
1470,MONTAGNIEU,Ain
1200,MONTANGES,Ain
1090,MONTCEAUX,Ain
1310,MONTCET,Ain
1800,LE MONTELLIER,Ain
1390,MONTHIEUX,Ain
1120,MONTLUEL,Ain
1120,MONTLUEL,Ain
1120,MONTLUEL,Ain
1090,MONTMERLE-SUR-SAÃ´NE,Ain
1310,MONTRACOL,Ain
1460,MONTRÃ©AL-LA-CLUSE,Ain
1340,MONTREVEL-EN-BRESSE,Ain
1460,NURIEUX-VOLOGNAT,Ain
1460,NURIEUX-VOLOGNAT,Ain
1300,MURS-ET-GÃ©LIGNIEUX,Ain
1130,NANTUA,Ain
1460,NANTUA,Ain
1400,NEUVILLE-LES-DAMES,Ain
1160,NEUVILLE-SUR-AIN,Ain
1130,LES NEYROLLES,Ain
1700,NEYRON,Ain
1120,NIÃ©VROZ,Ain
1230,NIVOLLET-MONTGRIFFON,Ain
1230,ONCIEU,Ain
1510,ORDONNAZ,Ain
1210,ORNEX,Ain
1430,OUTRIAZ,Ain
1100,OYONNAX,Ain
1100,OYONNAX,Ain
1100,OYONNAX,Ain
1190,OZAN,Ain
1600,PARCIEUX,Ain
1300,PARVES ET NATTAGES,Ain
1300,PARVES ET NATTAGES,Ain
1630,PÃ©RON,Ain
1960,PÃ©RONNAS,Ain
1800,PÃ©ROUGES,Ain
1540,PERREX,Ain
1430,PEYRIAT,Ain
1300,PEYRIEU,Ain
1140,PEYZIEUX-SUR-SAÃ´NE,Ain
1270,PIRAJOUX,Ain
1120,PIZAY,Ain
1130,PLAGNE,Ain
1330,LE PLANTAY,Ain
1310,POLLIAT,Ain
1350,POLLIEU,Ain
1450,PONCIN,Ain
1160,PONT-D'AIN,Ain
1190,PONT-DE-VAUX,Ain
1290,PONT-DE-VEYLE,Ain
1460,PORT,Ain
1550,POUGNY,Ain
1250,POUILLAT,Ain
1300,PRÃ©MEYZEL,Ain
1110,PRÃ©MILLIEU,Ain
1280,PRÃ©VESSIN-MOÃ«NS,Ain
1280,PRÃ©VESSIN-MOÃ«NS,Ain
1160,PRIAY,Ain
1510,PUGIEU,Ain
1250,RAMASSE,Ain
1390,RANCÃ©,Ain
1990,RELEVANT,Ain
1750,REPLONGES,Ain
1250,REVONNAS,Ain
1600,REYRIEUX,Ain
1190,REYSSOUZE,Ain
1800,RIGNIEUX-LE-FRANC,Ain
1400,ROMANS,Ain
1510,ROSSILLON,Ain
1260,RUFFIEU,Ain
1450,SAINT-ALBAN,Ain
1380,SAINT-ANDRÃ©-DE-BÃ¢GÃ©,Ain
1390,SAINT-ANDRÃ©-DE-CORCY,Ain
1290,SAINT-ANDRÃ©-D'HUIRIAT,Ain
1240,SAINT-ANDRÃ©-LE-BOUCHOUX,Ain
1960,SAINT-ANDRÃ©-SUR-VIEUX-JONC,Ain
1190,SAINT-BÃ©NIGNE,Ain
1300,GROSLÃ©E-SAINT-BENOIT,Ain
1680,GROSLÃ©E-SAINT-BENOIT,Ain
1600,SAINT-BERNARD,Ain
1300,SAINT-CHAMP,Ain
1120,SAINTE-CROIX,Ain
1380,SAINT-CYR-SUR-MENTHON,Ain
1000,SAINT-DENIS-LÃ¨S-BOURG,Ain
1500,SAINT-DENIS-EN-BUGEY,Ain
1340,SAINT-DIDIER-D'AUSSIAT,Ain
1600,SAINT-DIDIER-DE-FORMANS,Ain
1140,SAINT-DIDIER-SUR-CHALARONNE,Ain
1800,SAINT-Ã‰LOI,Ain
1370,SAINT-Ã‰TIENNE-DU-BOIS,Ain
1140,SAINT-Ã‰TIENNE-SUR-CHALARONNE,Ain
1190,SAINT-Ã‰TIENNE-SUR-REYSSOUZE,Ain
1600,SAINTE-EUPHÃ©MIE,Ain
1630,SAINT-GENIS-POUILLY,Ain
1380,SAINT-GENIS-SUR-MENTHON,Ain
1400,SAINT-GEORGES-SUR-RENON,Ain
1130,SAINT-GERMAIN-DE-JOUX,Ain
1300,SAINT-GERMAIN-LES-PAROISSES,Ain
1240,SAINT-GERMAIN-SUR-RENON,Ain
1630,SAINT-JEAN-DE-GONVILLE,Ain
1800,SAINT-JEAN-DE-NIOST,Ain
1390,SAINT-JEAN-DE-THURIGNEUX,Ain
1640,SAINT-JEAN-LE-VIEUX,Ain
1560,SAINT-JEAN-SUR-REYSSOUZE,Ain
1290,SAINT-JEAN-SUR-VEYLE,Ain
1150,SAINTE-JULIE,Ain
1560,SAINT-JULIEN-SUR-REYSSOUZE,Ain
1540,SAINT-JULIEN-SUR-VEYLE,Ain
1250,SAINT-JUST,Ain
1750,SAINT-LAURENT-SUR-SAÃ´NE,Ain
1390,SAINT-MARCEL,Ain
1510,SAINT-MARTIN-DE-BAVEL,Ain
1430,SAINT-MARTIN-DU-FRÃªNE,Ain
1160,SAINT-MARTIN-DU-MONT,Ain
1310,SAINT-MARTIN-LE-CHÃ¢TEL,Ain
1700,SAINT-MAURICE-DE-BEYNOST,Ain
1800,SAINT-MAURICE-DE-GOURDANS,Ain
1500,SAINT-MAURICE-DE-RÃ©MENS,Ain
1560,SAINT-NIZIER-LE-BOUCHOUX,Ain
1320,SAINT-NIZIER-LE-DÃ©SERT,Ain
1330,SAINTE-OLIVE,Ain
1240,SAINT-PAUL-DE-VARAX,Ain
1230,SAINT-RAMBERT-EN-BUGEY,Ain
1310,SAINT-RÃ©MY,Ain
1150,SAINT-SORLIN-EN-BUGEY,Ain
1340,SAINT-SULPICE,Ain
1560,SAINT-TRIVIER-DE-COURTES,Ain
1990,SAINT-TRIVIER-SUR-MOIGNANS,Ain
1150,SAINT-VULBAS,Ain
1270,SALAVRE,Ain
1580,SAMOGNAT,Ain
1400,SANDRANS,Ain
1150,SAULT-BRÃ©NAZ,Ain
1220,SAUVERNY,Ain
1480,SAVIGNEUX,Ain
1170,SÃ©GNY,Ain
1470,SEILLONNAZ,Ain
1630,SERGY,Ain
1190,SERMOYER,Ain
1470,SERRIÃ¨RES-DE-BRIORD,Ain
1450,SERRIÃ¨RES-SUR-AIN,Ain
1960,SERVAS,Ain
1560,SERVIGNAT,Ain
1420,SEYSSEL,Ain
1250,SIMANDRE-SUR-SURAN,Ain
1580,SONTHONNAX-LA-MONTAGNE,Ain
1580,SONTHONNAX-LA-MONTAGNE,Ain
1150,SOUCLIN,Ain
1400,SULIGNAT,Ain
1420,SURJOUX,Ain
1260,SUTRIEU,Ain
1260,SUTRIEU,Ain
1260,SUTRIEU,Ain
1510,TALISSIEU,Ain
1230,TENAY,Ain
1110,THÃ©ZILLIEU,Ain
1120,THIL,Ain
1710,THOIRY,Ain
1140,THOISSEY,Ain
1230,TORCIEU,Ain
1250,TOSSIAT,Ain
1600,TOUSSIEUX,Ain
1390,TRAMOYES,Ain
1160,LA TRANCLIÃ¨RE,Ain
1370,VAL-REVERMONT,Ain
1370,VAL-REVERMONT,Ain
1370,VAL-REVERMONT,Ain
1600,TRÃ©VOUX,Ain
1140,VALEINS,Ain
1660,VANDEINS,Ain
1160,VARAMBON,Ain
1150,VAUX-EN-BUGEY,Ain
1270,VERJON,Ain
1560,VERNOUX,Ain
1330,VERSAILLEUX,Ain
1210,VERSONNEX,Ain
1170,VESANCY,Ain
1560,VESCOURS,Ain
1570,VÃ©SINES,Ain
1430,VIEU-D'IZENAVE,Ain
1260,VIEU,Ain
1330,VILLARS-LES-DOMBES,Ain
1150,VILLEBOIS,Ain
1270,VILLEMOTIER,Ain
1480,VILLENEUVE,Ain
1250,VILLEREVERSURE,Ain
1200,VILLES,Ain
1320,VILLETTE-SUR-AIN,Ain
1800,VILLIEU-LOYES-MOLLON,Ain
1800,VILLIEU-LOYES-MOLLON,Ain
1800,VILLIEU-LOYES-MOLLON,Ain
1440,VIRIAT,Ain
1510,VIRIEU-LE-GRAND,Ain
1260,VIRIEU-LE-PETIT,Ain
1300,VIRIGNIN,Ain
1350,VONGNES,Ain
1540,VONNAS,Ain
2300,ABBÃ©COURT,Aisne
2800,ACHERY,Aisne
2200,ACY,Aisne
2340,AGNICOURT-ET-SÃ©CHELLES,Aisne
2190,AGUILCOURT,Aisne
2110,AISONVILLE-ET-BERNOVILLE,Aisne
2820,AIZELLES,Aisne
2370,AIZY-JOUY,Aisne
2370,AIZY-JOUY,Aisne
2240,ALAINCOURT,Aisne
2320,ALLEMANT,Aisne
2290,AMBLENY,Aisne
2200,AMBRIEF,Aisne
2190,AMIFONTAINE,Aisne
2700,AMIGNY-ROUY,Aisne
2600,ANCIENVILLE,Aisne
2800,ANDELAIN,Aisne
2800,ANGUILCOURT-LE-SART,Aisne
2320,ANIZY-LE-CHÃ¢TEAU,Aisne
2480,ANNOIS,Aisne
2500,ANY-MARTIN-RIEUX,Aisne
2360,ARCHON,Aisne
2130,ARCY-SAINTE-RESTITUE,Aisne
2130,ARCY-SAINTE-RESTITUE,Aisne
2210,ARMENTIÃ¨RES-SUR-OURCQ,Aisne
2860,ARRANCY,Aisne
2480,ARTEMPS,Aisne
2270,ASSIS-SUR-SERRE,Aisne
2840,ATHIES-SOUS-LAON,Aisne
2490,ATTILLY,Aisne
2420,AUBENCHEUL-AUX-BOIS,Aisne
2500,AUBENTON,Aisne
2590,AUBIGNY-AUX-KAISNES,Aisne
2820,AUBIGNY-EN-LAONNOIS,Aisne
2300,AUDIGNICOURT,Aisne
2120,AUDIGNY,Aisne
2220,AUGY,Aisne
2000,AULNOIS-SOUS-LAON,Aisne
2360,LES AUTELS,Aisne
2250,AUTREMENCOURT,Aisne
2580,AUTREPPES,Aisne
2300,AUTREVILLE,Aisne
2400,AZY-SUR-MARNE,Aisne
2290,BAGNEUX,Aisne
2140,BANCIGNY,Aisne
2000,BARENTON-BUGNY,Aisne
2000,BARENTON-CEL,Aisne
2270,BARENTON-SUR-SERRE,Aisne
2700,BARISIS-AUX-BOIS,Aisne
2170,BARZY-EN-THIÃ©RACHE,Aisne
2850,BARZY-SUR-MARNE,Aisne
2380,BASSOLES-AULERS,Aisne
2330,VALLÃ©ES EN CHAMPAGNE,Aisne
2330,VALLÃ©ES EN CHAMPAGNE,Aisne
2330,VALLÃ©ES EN CHAMPAGNE,Aisne
2220,BAZOCHES-SUR-VESLES,Aisne
2500,BEAUMÃ©,Aisne
2300,BEAUMONT-EN-BEINE,Aisne
2110,BEAUREVOIR,Aisne
2160,BEAURIEUX,Aisne
2800,BEAUTOR,Aisne
2590,BEAUVOIS-EN-VERMANDOIS,Aisne
2110,BECQUIGNY,Aisne
2400,BELLEAU,Aisne
2420,BELLENGLISE,Aisne
2200,BELLEU,Aisne
2420,BELLICOURT,Aisne
2440,BENAY,Aisne
2450,BERGUES-SUR-SAMBRE,Aisne
2250,BERLANCOURT,Aisne
2340,BERLISE,Aisne
2120,BERNOT,Aisne
2290,BERNY-RIVIÃ¨RE,Aisne
2820,BERRIEUX,Aisne
2190,BERRY-AU-BAC,Aisne
2800,BERTAUCOURT-EPOURDON,Aisne
2240,BERTHENICOURT,Aisne
2190,BERTRICOURT,Aisne
2200,BERZY-LE-SEC,Aisne
2300,BESMÃ©,Aisne
2500,BESMONT,Aisne
2870,BESNY-ET-LOIZY,Aisne
2300,BÃ©THANCOURT-EN-VAUX,Aisne
2210,BEUGNEUX,Aisne
2130,BEUVARDES,Aisne
2310,BÃ©ZU-LE-GUÃ©RY,Aisne
2400,BÃ©ZU-SAINT-GERMAIN,Aisne
2300,BICHANCOURT,Aisne
2290,BIEUXY,Aisne
2860,BIÃ¨VRES,Aisne
2200,BILLY-SUR-AISNE,Aisne
2210,BILLY-SUR-OURCQ,Aisne
2160,BLANZY-LÃ¨S-FISMES,Aisne
2300,BLÃ©RANCOURT,Aisne
2400,BLESMES,Aisne
2110,BOHAIN-EN-VERMANDOIS,Aisne
2270,BOIS-LÃ¨S-PARGNY,Aisne
2350,BONCOURT,Aisne
2400,BONNEIL,Aisne
2400,BONNESVALYN,Aisne
2420,BONY,Aisne
2250,BOSMONT-SUR-SERRE,Aisne
2860,BOUCONVILLE-VAUCLAIR,Aisne
2450,BOUÃ©,Aisne
2160,BOUFFIGNEREUX,Aisne
2400,BOURESCHES,Aisne
2160,BOURG-ET-COMIN,Aisne
2300,BOURGUIGNON-SOUS-COUCY,Aisne
2000,BOURGUIGNON-SOUS-MONTBAVIN,Aisne
2140,LA BOUTEILLE,Aisne
2220,BRAINE,Aisne
2320,BRANCOURT-EN-LAONNOIS,Aisne
2110,BRANCOURT-LE-GRAND,Aisne
2400,BRASLES,Aisne
2000,BRAYE-EN-LAONNOIS,Aisne
2140,BRAYE-EN-THIÃ©RACHE,Aisne
2480,BRAY-SAINT-CHRISTOPHE,Aisne
2880,BRAYE,Aisne
2210,BRÃ©CY,Aisne
2220,BRENELLE,Aisne
2210,BRENY,Aisne
2870,BRIE,Aisne
2240,BRISSAY-CHOIGNY,Aisne
2240,BRISSY-HAMÃ©GICOURT,Aisne
2810,BRUMETZ,Aisne
2360,BRUNEHAMEL,Aisne
2130,BRUYÃ¨RES-SUR-FÃ¨RE,Aisne
2860,BRUYÃ¨RES-ET-MONTBÃ©RAULT,Aisne
2220,BRUYS,Aisne
2500,BUCILLY,Aisne
2880,BUCY-LE-LONG,Aisne
2870,BUCY-LÃ¨S-CERNY,Aisne
2350,BUCY-LÃ¨S-PIERREPONT,Aisne
2500,BUIRE,Aisne
2620,BUIRONFOSSE,Aisne
2140,BURELLES,Aisne
2810,BUSSIARES,Aisne
2200,BUZANCY,Aisne
2300,CAILLOUÃ«L-CRÃ©PIGNY,Aisne
2300,CAMELIN,Aisne
2300,CAMELIN,Aisne
2260,LA CAPELLE,Aisne
2680,CASTRES,Aisne
2420,LE CATELET,Aisne
2490,CAULAINCOURT,Aisne
2300,CAUMONT,Aisne
2330,CELLES-LÃ¨S-CONDÃ©,Aisne
2370,CELLES-SUR-AISNE,Aisne
2240,CERIZY,Aisne
2860,CERNY-EN-LAONNOIS,Aisne
2870,CERNY-LÃ¨S-BUCY,Aisne
2220,CERSEUIL,Aisne
2320,CESSIÃ¨RES,Aisne
2200,CHACRISE,Aisne
2000,CHAILLEVOIS,Aisne
2270,CHALANDRY,Aisne
2000,CHAMBRY,Aisne
2860,CHAMOUILLE,Aisne
2670,CHAMPS,Aisne
2340,CHAOURSE,Aisne
2570,LA CHAPELLE-SUR-CHÃ©ZY,Aisne
2310,CHARLY-SUR-MARNE,Aisne
2850,LE CHARMEL,Aisne
2800,CHARMES,Aisne
2400,CHARTÃ¨VES,Aisne
2370,CHASSEMY,Aisne
2400,CHÃ¢TEAU-THIERRY,Aisne
2270,CHÃ¢TILLON-LÃ¨S-SONS,Aisne
2240,CHÃ¢TILLON-SUR-OISE,Aisne
2160,CHAUDARDES,Aisne
2200,CHAUDUN,Aisne
2300,CHAUNY,Aisne
2000,CHAVIGNON,Aisne
2880,CHAVIGNY,Aisne
2370,CHAVONNE,Aisne
2860,CHÃ©RÃªT,Aisne
2860,CHERMIZY-AILLES,Aisne
2220,CHÃ©RY-CHARTREUVE,Aisne
2000,CHÃ©RY-LÃ¨S-POUILLY,Aisne
2360,CHÃ©RY-LÃ¨S-ROZOY,Aisne
2250,CHEVENNES,Aisne
2000,CHEVREGNY,Aisne
2270,CHEVRESIS-MONCEAU,Aisne
2810,CHÃ©ZY-EN-ORXOIS,Aisne
2570,CHÃ©ZY-SUR-MARNE,Aisne
2400,CHIERRY,Aisne
2120,CHIGNY,Aisne
2350,CHIVRES-EN-LAONNOIS,Aisne
2880,CHIVRES-VAL,Aisne
2000,CHIVY-LÃ¨S-Ã‰TOUVELLES,Aisne
2210,CHOUY,Aisne
2130,CIERGES,Aisne
2250,CILLY,Aisne
2220,CIRY-SALSOGNE,Aisne
2000,CLACY-ET-THIERRET,Aisne
2260,CLAIRFONTAINE,Aisne
2880,CLAMECY,Aisne
2440,CLASTRES,Aisne
2340,CLERMONT-LES-FERMES,Aisne
2600,CÅ“UVRES-ET-VALSERY,Aisne
2210,COINCY,Aisne
2360,COINGT,Aisne
2860,COLLIGIS-CRANDELAIN,Aisne
2120,COLONFAY,Aisne
2300,COMMENCHON,Aisne
2160,CONCEVREUX,Aisne
2330,CONDÃ©-EN-BRIE,Aisne
2370,CONDÃ©-SUR-AISNE,Aisne
2190,CONDÃ©-SUR-SUIPPE,Aisne
2700,CONDREN,Aisne
2330,CONNIGIS,Aisne
2680,CONTESCOURT,Aisne
2820,CORBENY,Aisne
2600,CORCY,Aisne
2380,COUCY-LE-CHÃ¢TEAU-AUFFRIQUE,Aisne
2840,COUCY-LÃ¨S-EPPES,Aisne
2380,COUCY-LA-VILLE,Aisne
2130,COULONGES-COHAN,Aisne
2130,COULONGES-COHAN,Aisne
2310,COUPRU,Aisne
2800,COURBES,Aisne
2330,COURBOIN,Aisne
2220,COURCELLES-SUR-VESLE,Aisne
2810,COURCHAMPS,Aisne
2200,COURMELLES,Aisne
2130,COURMONT,Aisne
2850,COURTEMONT-VARENNES,Aisne
2820,COURTRIZY-ET-FUSSIGNY,Aisne
2220,COUVRELLES,Aisne
2270,COUVRON-ET-AUMENCOURT,Aisne
2600,COYOLLES,Aisne
2130,CRAMAILLE,Aisne
2160,CRAONNE,Aisne
2160,CRAONNELLE,Aisne
2380,CRÃ©CY-AU-MONT,Aisne
2270,CRÃ©CY-SUR-SERRE,Aisne
2870,CRÃ©PY,Aisne
2650,CRÃ©ZANCY,Aisne
2110,CROIX-FONSOMME,Aisne
2210,LA CROIX-SUR-OURCQ,Aisne
2310,CROUTTES-SUR-MARNE,Aisne
2880,CROUY,Aisne
2120,CRUPILLY,Aisne
2880,CUFFIES,Aisne
2480,CUGNY,Aisne
2350,CUIRIEUX,Aisne
2220,CUIRY-HOUSSE,Aisne
2160,CUIRY-LÃ¨S-CHAUDARDES,Aisne
2360,CUIRY-LÃ¨S-IVIERS,Aisne
2160,CUISSY-ET-GENY,Aisne
2200,CUISY-EN-ALMONT,Aisne
2600,CUTRY,Aisne
2220,CYS-LA-COMMUNE,Aisne
2140,DAGNY-LAMBERCY,Aisne
2680,DALLON,Aisne
2470,DAMMARD,Aisne
2600,DAMPLEUX,Aisne
2800,DANIZY,Aisne
2270,DERCY,Aisne
2700,DEUILLET,Aisne
2220,DHUIZEL,Aisne
2340,DIZY-LE-GROS,Aisne
2360,DOHIS,Aisne
2360,DOLIGNON,Aisne
2600,DOMMIERS,Aisne
2310,DOMPTIN,Aisne
2450,DORENGT,Aisne
2590,DOUCHY,Aisne
2130,DRAVEGNY,Aisne
2210,DROIZY,Aisne
2480,DURY,Aisne
2350,Ã‰BOULEAU,Aisne
2500,EFFRY,Aisne
2260,ENGLANCOURT,Aisne
2290,Ã‰PAGNY,Aisne
